Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2005-01-03 00:00:00-05:00,44.60397850370234,44.93782346575565,44.5938636269231,44.88724136352539,1168000,0.0,0.0,0.0
2005-01-04 00:00:00-05:00,44.87712653297672,44.89230077774473,44.41682052612305,44.41682052612305,1935400,0.0,0.0,0.0
2005-01-05 00:00:00-05:00,44.507861688592556,44.79112835590702,44.482572571674375,44.6545524597168,1094100,0.0,0.0,0.0
2005-01-06 00:00:00-05:00,44.65966263653665,44.78611994249835,44.624254745234204,44.68495178222656,1057400,0.0,0.0,0.0
2005-01-07 00:00:00-05:00,44.89735088020231,44.95299233898022,44.68995928672714,44.786067962646484,738700,0.0,0.0,0.0
2005-01-10 00:00:00-05:00,44.836661832891345,44.87712906066335,44.750671868251274,44.856895446777344,379400,0.0,0.0,0.0
2005-01-11 00:00:00-05:00,44.96818013137828,45.160393681972586,44.887245672706534,45.11992645263672,844100,0.0,0.0,0.0
2005-01-12 00:00:00-05:00,44.95297414718448,45.24129619909666,44.9175663113063,45.18059539794922,722000,0.0,0.0,0.0
2005-01-13 00:00:00-05:00,45.398124613951204,45.61563110351563,45.38800973825439,45.615631103515625,1876700,0.0,0.0,0.0
2005-01-14 00:00:00-05:00,45.47401597748711,45.72693041133391,45.42848937262733,45.61058807373047,1043800,0.0,0.0,0.0
2005-01-18 00:00:00-05:00,45.42342475436433,45.77244397885424,45.38801689509239,45.7623291015625,1251600,0.0,0.0,0.0
2005-01-19 00:00:00-05:00,45.92924482766801,45.94947457842264,45.661152390587965,45.893836975097656,655800,0.0,0.0,0.0
2005-01-20 00:00:00-05:00,45.73701596051732,46.04051231467437,45.70160811685176,45.9848747253418,1064200,0.0,0.0,0.0
2005-01-21 00:00:00-05:00,45.82806984981785,46.05569503264348,45.787602636093396,46.03546142578125,606300,0.0,0.0,0.0
2005-01-24 00:00:00-05:00,46.075944199183475,46.28333586255271,46.0304214589322,46.23275375366211,561400,0.0,0.0,0.0
2005-01-25 00:00:00-05:00,46.21252425550159,46.232757872694016,45.782570502874215,45.79774475097656,1942200,0.0,0.0,0.0
