Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-03 00:00:00-05:00,40.79265947315978,40.92364300102183,39.82666958642071,39.86760330200195,755087,0.0,0.0
2005-01-04 00:00:00-05:00,39.86760759669076,39.94947140167365,39.41735485178554,39.69569396972656,1115810,0.0,0.0
2005-01-05 00:00:00-05:00,39.37641536634778,39.45827915178709,39.106265964897396,39.19631576538086,1148170,0.0,0.0
2005-01-06 00:00:00-05:00,39.22906974624732,39.523777267359115,39.01622603127747,39.43373107910156,1185068,0.0,0.0
2005-01-07 00:00:00-05:00,39.37642570863111,39.56471137409572,39.14720632219663,39.1717643737793,870090,0.0,0.0
2005-01-10 00:00:00-05:00,39.089891703272734,39.581070752870716,39.04077198081414,39.327293395996094,853794,0.0,0.0
2005-01-11 00:00:00-05:00,39.13082826651899,39.60563900071449,38.983472709699946,39.48284149169922,489346,0.0,0.0
2005-01-12 00:00:00-05:00,40.11319308390597,40.84996728664044,39.8266716003418,39.8266716003418,2292032,0.0,0.0
2005-01-13 00:00:00-05:00,39.908526994285324,40.186862402690195,39.294550438834285,39.4419059753418,1193915,0.0,0.0
2005-01-14 00:00:00-05:00,39.34367324275932,39.671128430888565,39.33548722655593,39.515586853027344,500171,0.0,0.0
2005-01-18 00:00:00-05:00,39.540155761847515,39.63839160923736,39.3109363612719,39.59745788574219,565122,0.0,0.0
2005-01-19 00:00:00-05:00,39.458279898004044,39.61382145678004,39.41734618701137,39.58107376098633,476309,0.0,0.0
2005-01-20 00:00:00-05:00,39.581077251272376,39.97402419046218,39.39279161509737,39.57289123535156,788843,0.0,0.0
2005-01-21 00:00:00-05:00,39.458288277903435,39.646573937462186,38.67239430192132,38.68058395385742,656845,0.0,0.0
2005-01-24 00:00:00-05:00,38.721494864291415,38.795172615243125,38.31217604511345,38.4104118347168,516583,0.0,0.0
2005-01-25 00:00:00-05:00,38.55776733662023,38.62325907468807,38.303990032229585,38.4104118347168,485155,0.0,0.0
2005-01-26 00:00:00-05:00,38.475916525178945,39.04896306493641,38.475916525178945,38.901607513427734,488298,0.0,0.0
2005-01-27 00:00:00-05:00,38.975286693765355,40.145937862386724,38.975286693765355,39.48284149169922,1916992,0.0,0.0
2005-01-28 00:00:00-05:00,39.49102680940292,39.728432172303165,38.77881435570031,38.82793045043945,677681,0.0,0.0
2005-01-31 00:00:00-05:00,38.82793711162695,39.31093393607858,38.59872136019123,39.1717643737793,635311,0.0,0.0
2005-02-01 00:00:00-05:00,38.96709965652676,40.235986618104675,38.87704984860821,40.00676727294922,700612,0.0,0.0
2005-02-02 00:00:00-05:00,40.00677385346915,40.39972084765557,39.982215802269586,40.072265625,759859,0.0,0.0
