Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2005-01-03 00:00:00-05:00,82.46070214566006,82.59637603703474,81.33463731211401,81.6059799194336,55748000,0.0,0.0,0.0
2005-01-04 00:00:00-05:00,81.71451015968147,81.76877971377574,80.34423755909293,80.60879516601562,69167600,0.0,0.0,0.0
2005-01-05 00:00:00-05:00,80.54770837296434,80.89367017250733,80.0457281371561,80.0525131225586,65667300,0.0,0.0,0.0
2005-01-06 00:00:00-05:00,80.34426051394792,80.82589129942308,80.2221565700647,80.45957946777344,47814700,0.0,0.0,0.0
2005-01-07 00:00:00-05:00,80.70380334102828,80.88017688944629,80.13398309822854,80.34427642822266,55847700,0.0,0.0,0.0
2005-01-10 00:00:00-05:00,80.27642775799477,81.03618627039182,80.27642775799477,80.7241439819336,56563300,0.0,0.0,0.0
2005-01-11 00:00:00-05:00,80.47988112570386,80.54771545941442,80.03895019344338,80.16783905029297,63099700,0.0,0.0,0.0
2005-01-12 00:00:00-05:00,80.31711514340468,80.61558738600108,79.72016030735122,80.43243408203125,72720500,0.0,0.0,0.0
2005-01-13 00:00:00-05:00,80.47989775346456,80.54095228921793,79.70657480344839,79.78797912597656,55537500,0.0,0.0,0.0
2005-01-14 00:00:00-05:00,80.0254419279356,80.4053186054071,79.88298817388379,80.2085952758789,42032500,0.0,0.0,0.0
2005-01-18 00:00:00-05:00,80.07966943380993,81.14468470973146,80.01182991238795,81.04293060302734,57391700,0.0,0.0,0.0
2005-01-19 00:00:00-05:00,81.01577647112039,81.07682581529802,80.18818419163937,80.1949691772461,54378900,0.0,0.0,0.0
2005-01-20 00:00:00-05:00,79.97113106088673,80.18141908799001,79.56411980582956,79.70657348632812,72049300,0.0,0.0,0.0
2005-01-21 00:00:00-05:00,79.90331677158758,80.04577048784483,79.12999364023096,79.21817779541016,63160400,0.0,0.0,0.0
2005-01-24 00:00:00-05:00,79.42845559916167,79.59804407401727,78.94004513893834,79.06214904785156,58441900,0.0,0.0,0.0
2005-01-25 00:00:00-05:00,79.30637334015388,79.68624994660551,79.17748441635182,79.28601837158203,68245000,0.0,0.0,0.0
2005-01-26 00:00:00-05:00,79.58447160206823,79.77440984752963,79.39453335660684,79.52342224121094,57195100,0.0,0.0,0.0
2005-01-27 00:00:00-05:00,79.49630751085176,79.87618409755594,79.3538537908377,79.65911102294922,55878800,0.0,0.0,0.0
2005-01-28 00:00:00-05:00,79.699810607116,79.74051536671311,79.1028609458051,79.65911102294922,60738900,0.0,0.0,0.0
2005-01-31 00:00:00-05:00,80.01186846928556,80.21537678076236,79.84906492536292,80.15432739257812,52532700,0.0,0.0,0.0
2005-02-01 00:00:00-05:00,80.21535458750455,80.77838960810776,80.11360045991856,80.66307067871094,49841200,0.0,0.0,0.0
2005-02-02 00:00:00-05:00,80.7648262481417,81.12435304302991,80.65629229847278,80.90727996826172,52468900,0.0,0.0,0.0
2005-02-03 00:00:00-05:00,80.76482533149886,80.83266487163112,80.43243332165795,80.69699096679688,48837100,0.0,0.0,0.0
