Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-03 00:00:00-05:00,31.262596253702405,31.29427255090386,30.122319634753666,30.730466842651367,1055900,0.0,0.0
2005-01-04 00:00:00-05:00,30.730467697534475,31.42096894755289,30.59743594521149,31.3322811126709,1660100,0.0,0.0
2005-01-05 00:00:00-05:00,31.490645897610932,31.61101000367012,30.907838874913626,30.945846557617188,697400,0.0,0.0
2005-01-06 00:00:00-05:00,30.882501694515653,30.90784176306038,30.09064267670756,30.401052474975586,1015300,0.0,0.0
2005-01-07 00:00:00-05:00,30.312359004462348,30.318695229204202,28.703303488352027,28.85533905029297,2178900,0.0,0.0
2005-01-10 00:00:00-05:00,28.53859903679481,29.330458068984246,28.348553352381746,28.589279174804688,1247300,0.0,0.0
2005-01-11 00:00:00-05:00,28.190185621014276,29.032724913007993,27.410996510690573,28.329553604125977,1503300,0.0,0.0
2005-01-12 00:00:00-05:00,28.449913706665164,28.63362559821803,27.176605334533058,27.303300857543945,1658100,0.0,0.0
2005-01-13 00:00:00-05:00,27.018230377132866,27.23994993322036,26.23270517623648,26.923206329345703,2414800,0.0,0.0
2005-01-14 00:00:00-05:00,27.106925206745572,27.6137146206384,26.70149367563131,27.49335289001465,992800,0.0,0.0
2005-01-18 00:00:00-05:00,27.461679923943425,28.63996696472168,27.11326231060518,28.63996696472168,879800,0.0,0.0
2005-01-19 00:00:00-05:00,28.690641060356747,29.248108157321603,27.96846590830866,28.09516143798828,864600,0.0,0.0
2005-01-20 00:00:00-05:00,28.095164590893948,28.316886625840112,27.594711392747815,27.721406936645508,453600,0.0,0.0
2005-01-21 00:00:00-05:00,27.4299934938078,27.55035760058405,26.543112921389916,27.271621704101562,1626200,0.0,0.0
2005-01-24 00:00:00-05:00,28.272534023487655,28.354885618429588,26.28971843814226,26.63813591003418,1875100,0.0,0.0
2005-01-25 00:00:00-05:00,26.796507260885807,27.303296522144567,26.638135465707332,26.669809341430664,613900,0.0,0.0
2005-01-26 00:00:00-05:00,26.76482998658507,27.08157353672217,26.619128243509383,26.644468307495117,365500,0.0,0.0
2005-01-27 00:00:00-05:00,26.720489921537972,26.986553381926104,26.517774213653148,26.63813591003418,646000,0.0,0.0
2005-01-28 00:00:00-05:00,26.669802238390105,26.796500124101456,26.448082750816113,26.733152389526367,400200,0.0,0.0
2005-01-31 00:00:00-05:00,27.11325901717312,27.6137146206384,26.942217136878813,27.49335289001465,621800,0.0,0.0
2005-02-01 00:00:00-05:00,27.873437983426186,28.190181596874208,27.303298512594942,27.39198875427246,780400,0.0,0.0
2005-02-02 00:00:00-05:00,27.71507213875325,28.82367502430338,27.468012453766367,28.60195541381836,899300,0.0,0.0
2005-02-03 00:00:00-05:00,28.760315165936735,29.070722490143858,28.22184968363386,28.98203468322754,731000,0.0,0.0
2005-02-04 00:00:00-05:00,29.235441297412567,30.407391893343558,29.077069464634736,30.16666603088379,1227400,0.0,0.0
2005-02-07 00:00:00-05:00,30.43906530864166,31.35128859801813,30.4073914258855,31.009204864501953,1102400,0.0,0.0
2005-02-08 00:00:00-05:00,31.015539914608116,31.104227756496556,29.647207342391948,29.78023910522461,773600,0.0,0.0
2005-02-09 00:00:00-05:00,30.09696945154713,30.217333540723104,29.50782870322402,29.970273971557617,368600,0.0,0.0
2005-02-10 00:00:00-05:00,30.565763697190206,30.724135529818135,29.80557841726367,30.12232208251953,549600,0.0,0.0
2005-02-11 00:00:00-05:00,30.280687913481003,30.37571196084884,29.666206967937878,29.805572509765625,725700,0.0,0.0
2005-02-14 00:00:00-05:00,29.995613962834458,30.426385394850662,29.685206629404924,30.413715362548828,287100,0.0,0.0
2005-02-15 00:00:00-05:00,30.72412983369603,32.561243718211905,30.521414118839896,32.1748161315918,2193400,0.0,0.0
2005-02-16 00:00:00-05:00,32.24450152670706,32.24450152670706,31.452642475624494,31.496986389160156,820600,0.0,0.0
2005-02-17 00:00:00-05:00,31.99110009856599,32.491555511765874,31.389286841122228,31.769380569458008,709400,0.0,0.0
2005-02-18 00:00:00-05:00,31.99110879991178,32.02278268174775,30.78748195764662,31.072551727294922,596300,0.0,0.0
2005-02-22 00:00:00-05:00,31.040879224454883,31.040879224454883,30.0906482277879,30.16666603088379,736800,0.0,0.0
2005-02-23 00:00:00-05:00,30.32503535132609,30.83182469091674,29.81824601173544,30.027297973632812,568000,0.0,0.0
2005-02-24 00:00:00-05:00,30.344031437274,30.375705307271378,29.108731174885182,29.970273971557617,941700,0.0,0.0
2005-02-25 00:00:00-05:00,30.185663704205602,30.787474564255334,29.6471981760536,30.7241268157959,864700,0.0,0.0
