Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-25 00:00:00-04:00,3.6566871931083518,4.1784227586455955,3.6476133204094463,4.173885822296143,395343000,0.0,0.0
2006-05-26 00:00:00-04:00,4.201106765084036,4.241030591188364,4.002393204582518,4.0767974853515625,103044000,0.0,0.0
2006-05-30 00:00:00-04:00,4.0804274694437055,4.081334770205513,3.888065429960036,3.992412805557251,49898000,0.0,0.0
2006-05-31 00:00:00-04:00,4.024172152823783,4.115816057499133,4.024172152823783,4.077706813812256,30002000,0.0,0.0
2006-06-01 00:00:00-04:00,4.076796029705557,4.364431011888654,4.07407369595872,4.310896396636963,62344000,0.0,0.0
2006-06-02 00:00:00-04:00,4.400727635586498,4.41887494909272,4.245567953675175,4.2637152671813965,37253000,0.0,0.0
2006-06-05 00:00:00-04:00,4.26916158943715,4.468782568160886,4.264624650678362,4.4597086906433105,37188000,0.0,0.0
2006-06-06 00:00:00-04:00,4.5350141110534254,4.593992936216407,4.337208438096036,4.3825764656066895,49045000,0.0,0.0
2006-06-07 00:00:00-04:00,4.385300875669352,4.391652411183095,4.241937027407845,4.319063186645508,25013000,0.0,0.0
2006-06-08 00:00:00-04:00,4.319065626802343,4.329953670501709,4.12851858840423,4.329953670501709,34439000,0.0,0.0
2006-06-09 00:00:00-04:00,4.4279468976737055,4.4279468976737055,4.326321899674614,4.335395336151123,13372000,0.0,0.0
2006-06-12 00:00:00-04:00,4.355358588541145,4.378042400822288,4.201106242099857,4.260085105895996,14546000,0.0,0.0
2006-06-13 00:00:00-04:00,4.192032519785166,4.296379877177737,4.110369840810546,4.128517150878906,16716000,0.0,0.0
2006-06-14 00:00:00-04:00,4.074077084958923,4.1239825402829435,4.032338205002854,4.094039440155029,15971000,0.0,0.0
2006-06-15 00:00:00-04:00,4.119442303526449,4.184772690827558,4.09494346237177,4.169347286224365,16500000,0.0,0.0
2006-06-16 00:00:00-04:00,4.128518658397736,4.173886733801681,4.083150150327632,4.084964752197266,12280000,0.0,0.0
2006-06-19 00:00:00-04:00,4.123981689595382,4.123981689595382,4.001486978340316,4.023263931274414,11509000,0.0,0.0
2006-06-20 00:00:00-04:00,4.0595568543042715,4.083148399156252,3.9443214643474285,3.9942264556884766,23792000,0.0,0.0
2006-06-21 00:00:00-04:00,3.994227019583849,4.1629970595570445,3.9924124182362766,4.11037015914917,18063000,0.0,0.0
2006-06-22 00:00:00-04:00,4.210179963677324,4.260085392451097,4.162996869466637,4.22832727432251,13038000,0.0,0.0
2006-06-23 00:00:00-04:00,4.263714308181306,4.3490070518758674,4.252825835993406,4.260085105895996,11612000,0.0,0.0
2006-06-26 00:00:00-04:00,4.260086352358054,4.309991359710693,4.212903247515801,4.309991359710693,8565000,0.0,0.0
2006-06-27 00:00:00-04:00,4.309988932257676,4.3580793108514735,4.287304693449462,4.292748928070068,9826000,0.0,0.0
2006-06-28 00:00:00-04:00,4.251009927948553,4.300914905356993,4.219252254385533,4.260991096496582,8756000,0.0,0.0
2006-06-29 00:00:00-04:00,4.2600860505198455,4.363525693909449,4.2600860505198455,4.3553595542907715,14470000,0.0,0.0
